,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
315,2,N1,WPLUS,PHHB9*PHW30,UIUC3,1.876666667,1.744166667,90.42583333,1.6775,105.8333333,239,85,22.562,20.598,7.54777088,19.3,58,136.9973475,7.9,3.7,72.2
316,2,N1,WPLUS,PHHB9*PHZ51,UIUC4,1.923333333,1.74,102.0725,-1.81,110.6666667,252,90,22.98,21.15,6.43193456,18,56.6,121.5589521,7.9,3.6,72.4
317,2,N1,WPLUS,PHHB9*PHR63,UIUC2,1.906666667,1.7325,74.24583333,-1.171666667,106.0833333,226,88,20.548,18.244,7.5749864,21.5,51.4,150.9163539,7.7,3.4,72.9
318,2,N1,WPLUS,PHW52*LH185,UIUC7,1.903333333,1.698333333,74.40666667,0.760833333,97.5,216,85,18.954,17.652,3.9008912,19.2,53,77.57954672,7.6,3.8,72.3
319,2,N1,WPLUS,PHP38*Q381,UIUC6,1.896666667,1.735,69.15666667,0.0325,108,210,82,21.316,19.594,6.2142104,17.9,56.5,117.7954653,8.4,3.8,71.7
320,2,N1,WPLUS,PHW52*Q381,UIUC8,1.913333333,1.7075,82.1475,-1.175833333,80.5,193,67,20.616,18.016,3.73759808,17.3,54.7,73.71547873,8,3.8,71.9
321,2,N3,WPLUS,PHHB9*PHM49,UIUC1,1.903333333,1.724166667,69.1425,-1.235833333,79.91666667,225,88,18.714,17.154,6.05998912,23.2,54.3,111.8101278,10.3,3.8,70.4
322,2,N3,WPLUS,461.2B24,ORG2,1.883333333,1.720833333,89.87166667,1.005833333,113.1666667,228,115,23.654,20.078,3.95532224,21.3,52.3,77.64309231,12.4,5.1,66.4
323,2,N3,WPLUS,PHHB9*PHW30,UIUC3,1.88,1.698333333,86.335,1.101666667,112.25,263,110,20.566,18.134,7.19850504,19,58.6,129.8008765,8.3,3.5,72.1
324,2,N3,WPLUS,PHP38*Q381,UIUC6,1.9,1.755,74.86083333,-0.950833333,113.5833333,234,93,22.18,19.51,5.20270024,18.7,53.5,103.1367583,9.1,4.2,70.9
325,2,N3,WPLUS,PHHB9*PHR63,UIUC2,1.893333333,1.765,66.75166667,0.400833333,110.9166667,225,100,23.93,21.576,8.66814312,21.5,56.7,156.5527066,8.5,3.6,72
326,2,N3,WPLUS,PHHB9*PHZ51,UIUC4,1.876666667,1.6975,79.22083333,1.1825,140.6666667,274,94,22.844,20.516,7.86074936,18.7,54.3,153.5332963,9,3.7,71.5
327,2,N3,WPLUS,17.461,ORG1,1.943333333,1.746666667,77.20333333,-0.55,107.0833333,228,108,22.952,20.334,5.97834256,17.8,52.4,122.3402141,9.3,4.9,69.2
328,2,N3,WPLUS,PHW52*Q381,UIUC8,1.876666667,1.686666667,87.8575,2.511666667,111.75,198,70,21.728,19.064,3.81470872,17.5,56.6,72.53486524,9.5,4.2,70.5
329,2,N3,WPLUS,PHW52*LH185,UIUC7,1.88,1.719166667,84.26166667,0.723333333,99,223,66,21.858,19.598,8.24630256,18.4,55.8,157.3124642,7.6,3.7,72.3
330,2,N3,WPLUS,PHHB9*Q381,UIUC5,1.92,1.743333333,52.835,-0.620833333,96.58333333,212,83,18.848,17.144,5.84680088,17.8,55.8,112.3579564,8.4,3.6,71.9
331,2,N3,WMINUS,PHHB9*PHM49,UIUC1,1.91,1.705,58.36333333,-2.053333333,87.16666667,227,111,19.126,17.738,6.21874632,22.8,55.2,113.4563931,9.7,3.4,71.1
332,2,N3,WMINUS,461.2B24,ORG2,1.886666667,1.728333333,79.7825,1.566666667,147.3333333,198,89,22.312,18.23,4.34541136,21.4,55.3,80.57052976,12.2,4.8,67.1
333,2,N3,WMINUS,PHHB9*PHW30,UIUC3,1.85,1.7125,97.33166667,2.995,129,255,102,21.308,19.522,8.2326948,19.5,52.3,165.3042868,9.2,3.8,71
334,2,N3,WMINUS,PHP38*Q381,UIUC6,1.87,1.705,86.63333333,0.943333333,109.3333333,227,83,23.882,21.616,4.73096456,18.3,51.3,98.28840675,9.3,3.9,70.9
335,2,N3,WMINUS,PHHB9*PHR63,UIUC2,1.915,1.745,85.3725,-0.5625,123.125,228,85,23.706,21.21,8.08300944,22.3,56,146.3032544,8.7,3.6,71.7
336,2,N3,WMINUS,PHHB9*PHZ51,UIUC4,1.886666667,1.715,96.5,1.831666667,132.3333333,254,92,24.808,22.582,7.83353384,18.4,55.3,150.789347,8.3,3.8,72
337,2,N3,WMINUS,17.461,ORG1,1.916666667,1.740833333,76.46583333,-0.735833333,110.9166667,225,122,22.794,20.194,6.84470328,17.2,51.7,143.0020716,9.4,4.8,69.3
338,2,N3,WMINUS,PHW52*Q381,UIUC8,1.86,1.738333333,73.825,-1.168333333,111.8333333,199,76,22.682,19.28,2.8576296,17,55.4,55.84987076,9.7,4,70.5
339,2,N3,WMINUS,PHW52*LH185,UIUC7,1.873333333,1.713333333,91.56,0.905833333,101.3333333,231,86,20.568,18.892,7.68384848,18.5,54.5,149.8952283,7.7,3.5,72.6
